item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"On Writing: 10th Anniversary Edition: A Memoir of the Craft","Stephen King",Stephen,King,9781439156810,1439156816,"“Long live the King” hailed Entertainment Weekly upon publication of Stephen King’s On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer’s craft, comprising the basic tools of the trade every writer must have. King’s advice is grounded in his vivid memories from childhood through his emergence as a writer, from his struggling early career to his widely reported, near-fatal accident in 1999—and how the inextricable link between writing and living spurred his recovery. Brilliantly structured, friendly and inspiring, On Writing will empower and entertain everyone who reads it—fans, writers, and anyone who loves a great story well told.",Scribner,2010-07-06,,,,,288,,,,,,,,,,,,,2022-08-06,1
book,"A Writer's Reference with Writing in the Disciplines","Diana Hacker, Nancy Sommers",Diana,Hacker,9780312601447,0312601441,"To help your students write in composition and in other college courses, A Writer&#039;s Reference with Writing in the Disciplines includes a tabbed section with advice and model papers in nine academic disciplines: biology, business, criminology, education, engineering, history, music, nursing, and psychology.","Bedford/St. Martin's",2011-04-08,,,,,736,,,,,,,,,,,,,2022-08-06,1
book,"Impressions 2018","Maryville College",Maryville,College,,,,"Maryville College",2018-03-01,,,,,100,,,,,,,,,,,,,2022-08-06,1
book,"Miners Millhands Mountaineers: Industrialization Appalachian South","Ronald D. Eller",Ronald,Eller,9780870493416,0870493418,"Twentieth-Century America Series","Univ Tennessee Press",1982-09-01,History,"history, us history",,30.00,298,,,,,,,,,,,,,2022-08-06,1
book,"Cod: A Biography of the Fish that Changed the World","Mark Kurlansky",Mark,Kurlansky,9780140275018,0140275010,"From the Bestselling Author of Salt and The Basque History of the World Cod, Mark Kurlansky’s third work of nonfiction and winner of the 1999 James Beard Award, is the biography of a single species of fish, but it may as well be a world history with this humble fish as its recurring main character. Cod, it turns out, is the reason Europeans set sail across the Atlantic, and it is the only reason they could. What did the Vikings eat in icy Greenland and on the five expeditions to America recorded in the Icelandic sagas? Cod, frozen and dried in the frosty air, then broken into pieces and eaten like hardtack. What was the staple of the medieval diet? Cod again, sold salted by the Basques, an enigmatic people with a mysterious, unlimited supply of cod. As we make our way through the centuries of cod history, we also find a delicious legacy of recipes, and the tragic story of environmental failure, of depleted fishing stocks where once their numbers were legendary. In this lovely, thoughtful history, Mark Kurlansky ponders the question: Is the fish that changed the world forever changed by the world's folly? “A charming fish tale and a pretty gift for your favorite seafood cook or fishing monomaniac. But in the last analysis, it’s a bitter ecological fable for our time.” –Los Angeles Times “Every once in a while a writer of particular skill takes a fresh, seemingly improbable idea and turns out a book of pure delight. Such is the case of Mark Kurlansky and the codfish.” –David McCullough “One of the 25 Best Books of the Year.” –The New York Public Library Mark Kurlansky is the author of many books including Salt, The Basque History of the World, 1968, and The Big Oyster. His newest book is Birdseye.","Penguin Books",1998-07-01,History,history,,5.00,294,,,,,,,,,,,,,2022-08-06,1
book,"Bamboo Annals puzzle(Chinese Edition)","倪德卫, 邵东方 魏可钦",倪德卫,倪德卫,9787532575756,7532575756,"《＜竹书纪年＞解谜》内容主要涉及《竹书纪年》。《竹书纪年》记两卷，以编年为体，记载中国上古北方君王世系，从皇帝到战国时期魏国魏襄王为止。学界一般称此为“今本”，而“古本”，则指从古代典籍、古书注释中汇辑原本《竹书纪年》佚文而成的本子。18世纪以来，一般斥“今本”《竹书纪年》为伪书。《＜竹书纪年＞解谜》通过考古学、古文字学、天文学等多方面信息来分析“今本”之价值，并对今本《竹书纪年》进行剖析论证，从而得出其并非伪书的结论。 倪德卫（1923年1月——2004年10日），西方汉学研究泰斗，美国斯坦福大学荣休讲座教授。1940年考入哈佛大学，受业於华裔着名学者洪业和杨联陞两位先生，跟随他们学习中国史学和中国哲学史，并研修西方哲学。自1948年开始在美国斯坦福大学任教，教授中西哲学和古代汉语。任WalterY.Evans-Wentz东方哲学、宗教与伦理学讲座教授，并为哲学系、宗教系、亚洲语文系三系合聘教授。还担任过斯坦福大学哲学系主任、亚洲语文系代主任。 代表作《章学诚的生平与思想》。着有论文集《儒学之道：中国哲学之探讨》（1996年），另有祝寿文集《中国语言、思想和文化：倪德卫与他的评论者》。2009年出版英文版《竹书纪年解谜》。",上海古籍出版社,2015-06-01,History,"chinese, history, language, primary source","Gift from cousin",20.00,200,,,,,,,,,,,,,2022-08-06,1
book,"The Celts: A History","Peter Berresford Ellis",Peter,Ellis,9780786712113,0786712112,"By the third century B.C., at the height of their greatest expansion, the Celts had spread from their Rhineland home as far west as Ireland and east to Turkey's central plain, as far north as Belgium and south to Cadiz in Spain. They had crossed the Alps and defeated the armies of the Etruscan empire and had occupied Rome and invaded the Greek peninsula. Formidable warriors armed with iron weapons, they would find their way to Egypt and into Queen Cleopatra's elite bodyguard. Tracking the progress of the Celts through the ancient world, this compelling history celebrates more than their warfare, for the Celts also developed agricultural techniques that even the Romans adopted. They cut the first roads through impenetrable European forests, displayed exuberant genius in their metalwork, monumental stone carvings, glassware, and jewelry, exerted influence on Greek philosophers and Roman surgeons, and made Irish the third literary language of Europe, after Latin and Greek. Bringing new material from anthropology and archaeology to this engaging illustrated survey, Ellis explores the remarkable achievements of a people who have survived three millennia, their heritors the Irish, Manx, Scots, Welsh, Cornish, and Bretons who speak a Celtic tongue to this day.","Running Press",2003-12-03,History,"european history, history, office, shelf-1","Published ~2003",5.00,208,,,,,,,,,,,,,2022-08-06,1
book,"The Family Firm","Emily Oster",Emily,Oster,9780593299746,0593299744,"From age 5 to 12, parenting decisions get more complicated and have lasting consequences. What's the right kind of school? Should they play a sport? When's the right time for a phone?

Making these decisions is less about finding the specific answer and more about taking the right approach. Along with these bigger questions, Oster investigates how to navigate the complexity of day-to-day family logistics. The Family Firm is a smart and winning guide to how to think more clearly - and with less ambient stress - about the key decisions of these early years.","Penguin Press",2021-08-03,Econ,"economics, family",,10.00,320,,,,,,,,,,,,,2022-08-06,1
book,Cribsheet,"Emily Oster",Emily,Oster,9780525559276,0525559272,"The instant New York Times bestseller! An NPR Book of the Year From the author of Expecting Better, an economist's guide to the early years of parenting. ""The book is jampacked with information, but it's also a delightful read because Oster is such a good writer."" --NPR With Expecting Better, award-winning economist Emily Oster spotted a need in the pregnancy market for advice that gave women the information they needed to make the best decision for their own pregnancies. By digging into the data, Oster found that much of the conventional pregnancy wisdom was wrong. In Cribsheet, she now tackles an even greater challenge: decision-making in the early years of parenting. As any new parent knows, there is an abundance of often-conflicting advice hurled at you from doctors, family, friends, and strangers on the internet. From the earliest days, parents get the message that they must make certain choices around feeding, sleep, and schedule or all will be lost. There's a rule--or three--for everything. But the benefits of these choices can be overstated, and the trade-offs can be profound. How do you make your own best decision? Armed with the data, Oster finds that the conventional wisdom doesn't always hold up. She debunks myths around breastfeeding (not a panacea), sleep training (not so bad!), potty training (wait until they're ready or possibly bribe with M&amp;Ms), language acquisition (early talkers aren't necessarily geniuses), and many other topics. She also shows parents how to think through freighted questions like if and how to go back to work, how to think about toddler discipline, and how to have a relationship and parent at the same time. Economics is the science of decision-making, and Cribsheet is a thinking parent's guide to the chaos and frequent misinformation of the early years. Emily Oster is a trained expert--and mom of two--who can empower us to make better, less fraught decisions--and stay sane in the years before preschool.","Penguin Publishing Group",2020-04-21,econ,"children, economics, family",,10.00,352,,,,,,,,,,,,,2022-08-06,1
book,"Fight of the Century","Michael Chabon (Editor), Geraldine Brooks, Yaa Gyasi, Dave Eggers, Timothy Egan, Li Yiyun, Meg Wolitzer, Aleksandar Hemon, Elizabeth Strout, Ayelet Waldman (Editor), Rabih Alameddine, Moriel Rothman-Zecher, Jonathan Lethem, Salman Rushdie, Lauren Groff, Jennifer Egan, Scott Turow, Morgan Parker, Victor Lavalle, Michael Cunningham, David Cole (Foreword by), Neil Gaiman, Jesmyn Ward, George Saunders, Marlon James, William Finnegan, Anthony Doerr, C. J. Anders, Brenda J. Childs, Andrew Sean Greer, Louise Erdrich, Viet Thanh Nguyen, Adrian Nicole LeBlanc, Jacqueline woodson, Sergio De La Pava, Ann Patchett, Brit Bennett, Moses Sumney, Steven Okazaki, David Handler, Héctor Tobar",Michael,Chabon,9781501190407,1501190407,"A unique collaboration between the American Civil Liberties Union and authors Michael Chabon and Ayelet Waldman, Fight of the Century features original essays by the most influential writers at work today--including Jennifer Egan, Neil Gaiman, Marlon James, Viet Thanh Nguyen, Salman Rushdie, Jesmyn Ward, and more--each writing about a landmark ACLU case, published in conjunction with the 100th anniversary of the organization. The American Civil Liberties Union began as a small group of idealists and visionaries, including Helen Keller and Jane Addams. A century after its founding, the ACLU remains the nation's premier defender of the rights and freedoms guaranteed by the Constitution. In collaboration with the ACLU, prize-winning authors Michael Chabon and Ayelet Waldman have curated an anthology of essays about landmark cases in the ACLU's 100-year history. In Fight of the Century, bestselling and award-winning authors present unique literary takes on historic decisions like Brown v. Board of Education, the Scopes trial, Roe v. Wade, and more. Contributors include Geraldine Brooks, Michael Cunningham, Jennifer Egan, Dave Eggers, Louise Erdrich, Neil Gaiman, Lauren Groff, Marlon James, Viet Thanh Nguyen, Morgan Parker, Ann Patchett, Salman Rushdie, George Saunders, Elizabeth Strout, Jesmyn Ward, Meg Wolitzer, and more. Fight of the Century shows how throughout American history, pivotal legal battles, fought primarily by underdogs and their lawyers, have advanced civil rights and social justice. The ACLU has been integral in this process. The essays range from personal memoir to narrative history, each shedding light on the work of one remarkable organization as it shaped a country. Chabon and Waldman are donating their advance to the ACLU and the contributors are forgoing payment.","Simon &amp; Schuster",2020-01-21,,,,,336,,,,,,,,,,,,,2022-08-06,1
